Comment,Description,Designator,Footprint,LibRef,Quantity

"22n","Capacitor Radiall","C1, C9","FP-VY2332M41Y5US63V7-MFG","CMP-00030-44060233-1","2"
"1n","Capacitor Radiall","C2","FP-VY2332M41Y5US63V7-MFG","CMP-00030-44060233-1","1"
"30p","Capacitor Radiall","C3","FP-VY2332M41Y5US63V7-MFG","CMP-00030-44060233-1","1"
"100p","Capacitor Radiall","C4","FP-VY2332M41Y5US63V7-MFG","CMP-00030-44060233-1","1"
"2.2u","Aluminum Electrolytic Capacitors (Radial Lead Type) 680uF ±20% 10V","C5","FP-RAD-TH-D_8_0_5-L_11_5-MFG","CMP-05427-000255-1","1"
"4.7u","Aluminum Electrolytic Capacitors (Radial Lead Type) 680uF ±20% 10V","C6, C7","FP-RAD-TH-D_8_0_5-L_11_5-MFG","CMP-05427-000255-1","2"
"3.3n","Capacitor Radiall","C8","FP-VY2332M41Y5US63V7-MFG","CMP-00030-44060233-1","1"
"1u","Aluminum Electrolytic Capacitors (Radial Lead Type) 680uF ±20% 10V","C10, C13","FP-RAD-TH-D_8_0_5-L_11_5-MFG","CMP-05427-000255-1","2"
"100u","Aluminum Electrolytic Capacitors (Radial Lead Type) 680uF ±20% 10V","C11","FP-RAD-TH-D_8_0_5-L_11_5-MFG","CMP-05427-000255-1","1"
"0.1u","Capacitor Radiall","C12","FP-VY2332M41Y5US63V7-MFG","CMP-00030-44060233-1","1"
"1N914BWT","DIODE GEN PURP 75V 200MA SOD523F","D1, D2","FP-502-01-MFG","CMP-07163-000008-1","2"
"1N4002","Standard Recovery Rectifier, 2-Pin Axial_Lead, Pb-Free, Bulk Bag","D3","ONSC-AXIAL_LEAD-2-59-10_P","CMP-0902-00207-1","1"
"HLMP-4700","LED RED DIFFUSED T-1 3/4 T/H","D4","FP-HLMP-4700-MFG","CMP-18399-000008-1","1"
"NRJ6HF","Jack Phone 1/4 in. Silver over Bronze cnts Horizontal PCB, Slim Jacks Series | Neutrik NRJ6HF","J1, J2","NEUTRIK_NRJ6HF","NRJ6HF","2"
"DCJ200-10-A-XX-K_REVA","Power Barrel Connector Jack 2.05mm ID (0.081), 5.50mm OD (0.217) Through Hole, Right Angle","PWR","GCT_DCJ200-10-A-XX-K_REVA","DCJ200-10-A-XX-K_REVA","1"
"2N5458","2N5458 Small Signal Field-Effect Transistor, 25V, 1-Element, N-Channel, Silicon, Junction FET, TO-92","Q1","FP-29-11-MFG","CMP-00278-00153544-1","1"
"1M","RES 1.18K OHM 1/4W 1% AXIAL","R1, R2, R8","FP-MFR-25-MFG","CMP-03413-000001-1","3"
"1K","RES 1.18K OHM 1/4W 1% AXIAL","R3, R6","FP-MFR-25-MFG","CMP-03413-000001-1","2"
"47","RES 1.18K OHM 1/4W 1% AXIAL","R4, R10","FP-MFR-25-MFG","CMP-03413-000001-1","2"
"560","RES 1.18K OHM 1/4W 1% AXIAL","R5","FP-MFR-25-MFG","CMP-03413-000001-1","1"
"1.5K","RES 1.18K OHM 1/4W 1% AXIAL","R7","FP-MFR-25-MFG","CMP-03413-000001-1","1"
"10K","RES 1.18K OHM 1/4W 1% AXIAL","R9","FP-MFR-25-MFG","CMP-03413-000001-1","1"
"100K","RES 1.18K OHM 1/4W 1% AXIAL","R11, R12, R20","FP-MFR-25-MFG","CMP-03413-000001-1","3"
"100K-A","Potentiometers 9mm Linear 100K Round Shaft","R DISTORTION, R TONE, R VOLUME","POT_RD901F-40-15R1-B100K-00DL1","RD901F-40-15R1-B100K-00DL1","3"
"FS57003PLT2B2M2QE","Pushbutton Switch, FS5700 Series, 3PDT, Round Actuator, ON-ON, 1A, 9VDC,Solder | E-Switch FS57003PLT2B2M2QE","S1","SW_FS57003PLT2B2M2QE","FS57003PLT2B2M2QE","1"
"LM308N","Ic 8-Pin Dip Op Amp Single Bipolar Ic 8-Pin Dip Op Amp Single Bipolar","U1","DIL08","LM308N","1"
